학번,숙제점수,중간고사점수,합산점수
2021E7001,8.6,41,50
2021E8506,4.3,56,60
2022E7007,7.1,24,31
2021E7007,2.9,11,14
2023U1207,0,12,12
2023E7049,10,55,65
2023E7051,1.4,60,61
2021E7012,10,70,80
2023E7018,8.6,37,46
2022E8117,2.9,53,56
2022E7016,0,18,18
2021U2317,8.6,88,97
2021E7016,10,63,73
2021E7017,4.3,60,64
2021E7019,0,29,29
2023A7041,8.4,72,80
2020E8519,2.9,53,56
2020E7031,2.9,61,64
2020E7032,8.6,83,92
2021E7022,7.1,30,37
2021E7023,2.9,44,47
2021E7024,8.4,83,91
2023E7055,10,75,85
2021E8530,8.6,73,82
2023E7038,10,86,96
2021E7050,7.1,26,33
2021E7030,10,70,80
2022E7044,5.6,25,31
2021E7037,5.7,71,77
2021E7041,10,89,99
